left,top,right,bottom,origin_url,width,height
174.0480,785.5680,2329.8912,2175.6000,https://monde-data.s3.amazonaws.com/original-bag-images-dev/009KR55482K_1.jpg,2352,2352
85.0212,130.5612,525.9903,471.0000,https://monde-data.s3.amazonaws.com/original-bag-images-dev/TVJHXSJI4JE_1.jpg,627,471
79.2894,154.2528,246.3657,298.8339,https://monde-data.s3.amazonaws.com/original-bag-images-dev/DDQFEHN3HDP_1.jpg,309,309
41.1600,513.2064,2308.9584,1855.7280,https://monde-data.s3.amazonaws.com/original-bag-images-dev/6GIIEMBRHMZ_1.jpg,2352,2352
48.9216,741.5856,2215.1136,2279.5584,https://monde-data.s3.amazonaws.com/original-bag-images-dev/CWWL9X3H52G_1.jpg,2352,2352
71.5008,583.7664,2270.6208,1801.8672,https://monde-data.s3.amazonaws.com/original-bag-images-dev/1JJCAUY8F6W_1.jpg,2352,2352
13.7229,238.8607,423.4878,532.1121,https://monde-data.s3.amazonaws.com/original-bag-images-dev/RRSYMYHXE6L_1.jpg,447,559
9.9862,432.5028,1001.9827,1167.5205,https://monde-data.s3.amazonaws.com/original-bag-images-dev/6GGMRKT95EM_1.jpg,1019,1317
0.0000,107.5500,287.9968,362.5500,https://monde-data.s3.amazonaws.com/original-bag-images-dev/TOWT4NGEM5L_1.jpg,299,375
26.4624,239.8110,409.7649,518.3607,https://monde-data.s3.amazonaws.com/original-bag-images-dev/FKX8F362E6I_1.jpg,447,559
41.0043,157.5591,248.9922,302.5728,https://monde-data.s3.amazonaws.com/original-bag-images-dev/YDZN3OIV0GM_1.jpg,309,309
66.0024,162.5649,267.9957,305.5701,https://monde-data.s3.amazonaws.com/original-bag-images-dev/1GD3T7L5SNW_1.jpg,309,309
1.0206,191.5461,486.0000,522.5382,https://monde-data.s3.amazonaws.com/original-bag-images-dev/KNDORKQ5AEC_1.jpg,486,549
15.0040,127.5764,229.0046,295.5638,https://monde-data.s3.amazonaws.com/original-bag-images-dev/KSKS77HQ1MY_1.jpg,242,322
60.0078,109.5714,253.0092,297.5670,https://monde-data.s3.amazonaws.com/original-bag-images-dev/J8TOQCRQZKH_1.jpg,309,309
39.9846,152.5533,247.0146,300.5643,https://monde-data.s3.amazonaws.com/original-bag-images-dev/VEVQ1KBW2FT_1.jpg,309,309
49.8726,145.2609,245.4387,304.6740,https://monde-data.s3.amazonaws.com/original-bag-images-dev/VEXDBBT9TNZ_1.jpg,309,309
41.9931,96.5625,294.0135,300.5643,https://monde-data.s3.amazonaws.com/original-bag-images-dev/WLM7JPV8CHN_1.jpg,309,309
55.0020,93.5652,275.0100,294.5697,https://monde-data.s3.amazonaws.com/original-bag-images-dev/4M9STK9UJHH_1.jpg,309,309
72.9858,130.5525,254.9868,294.5697,https://monde-data.s3.amazonaws.com/original-bag-images-dev/S6S5GMH2GKF_1.jpg,309,309
463.5792,271.8912,2065.7616,2030.2464,https://monde-data.s3.amazonaws.com/original-bag-images-dev/CVPIBMB24HQ_1.jpg,2352,2352
51.9792,402.4272,2321.6592,1879.2480,https://monde-data.s3.amazonaws.com/original-bag-images-dev/TXR8BNNUG0T_1.jpg,2352,2352
55.9193,220.2658,411.9496,449.7977,https://monde-data.s3.amazonaws.com/original-bag-images-dev/KZQA72QMV5C_1.jpg,461,461
88.0138,236.5328,585.0208,685.5884,https://monde-data.s3.amazonaws.com/original-bag-images-dev/B6RIZXC9BGP_1.jpg,686,686
19.9923,124.5579,291.0162,299.5755,https://monde-data.s3.amazonaws.com/original-bag-images-dev/HHEH8GPORDN_1.jpg,309,309
13.6416,454.4064,2340.2400,1797.8688,https://monde-data.s3.amazonaws.com/original-bag-images-dev/D9F84S8JYOS_1.jpg,2352,2352
10.7653,97.5884,634.0698,542.4692,https://monde-data.s3.amazonaws.com/original-bag-images-dev/C76H2K32J1X_1.jpg,637,637
3.0144,179.5452,461.0148,427.5738,https://monde-data.s3.amazonaws.com/original-bag-images-dev/03UQFUV458N_1.jpg,471,471
255.0352,202.5581,565.0288,484.5399,https://monde-data.s3.amazonaws.com/original-bag-images-dev/OENJ750NR4D_1.jpg,784,503
2.9588,58.4363,564.1066,564.6756,https://monde-data.s3.amazonaws.com/original-bag-images-dev/CVNAQUSLN8Z_1.jpg,569,569
28.3662,147.2385,282.6114,297.8142,https://monde-data.s3.amazonaws.com/original-bag-images-dev/8QZSPHQBTKO_1.jpg,309,309
209.9785,315.5924,689.9980,931.5934,https://monde-data.s3.amazonaws.com/original-bag-images-dev/IE259JEI0FD_1.jpg,961,961
417.4800,405.2496,1907.0016,1865.6064,https://monde-data.s3.amazonaws.com/original-bag-images-dev/QE1GGXKT6HA_1.jpg,2352,2352
189.1008,426.8880,2298.1392,1894.7712,https://monde-data.s3.amazonaws.com/original-bag-images-dev/T58VVU4FP1G_1.jpg,2352,2352
147.1291,179.9953,821.7511,767.3585,https://monde-data.s3.amazonaws.com/original-bag-images-dev/MLVQ82UGA8G_1.jpg,961,961
1.0032,100.5708,616.0275,555.5847,https://monde-data.s3.amazonaws.com/original-bag-images-dev/UKQ7CSQ80IO_1.jpg,627,627
68.6784,523.7904,2272.5024,1802.8080,https://monde-data.s3.amazonaws.com/original-bag-images-dev/H3MPP88XH3S_1.jpg,2352,2352
20.6976,486.6288,2321.6592,1859.4912,https://monde-data.s3.amazonaws.com/original-bag-images-dev/T16EYYKRTZI_1.jpg,2352,2352
4.9940,73.5680,217.0080,214.5660,https://monde-data.s3.amazonaws.com/original-bag-images-dev/BZ5TJU743IT_1.jpg,220,220
55.9776,184.5732,518.0280,549.5448,https://monde-data.s3.amazonaws.com/original-bag-images-dev/A2KCHG12UJR_1.jpg,588,588
54.9780,197.5680,388.9620,459.5220,https://monde-data.s3.amazonaws.com/original-bag-images-dev/P8JFW0JIR6Y_1.jpg,980,980
2.9808,156.5462,621.0000,697.0000,https://monde-data.s3.amazonaws.com/original-bag-images-dev/3R74EW6GOXT_1.jpg,621,697
581.0420,243.5700,1040.0544,624.5880,https://monde-data.s3.amazonaws.com/original-bag-images-dev/HWFX9N27PYX_1.jpg,1078,690
143.0938,561.5416,2080.0512,1929.5093,https://monde-data.s3.amazonaws.com/original-bag-images-dev/00S7KVMLGLS_1.jpg,2257,2257
50.0136,143.5794,626.0072,580.5450,https://monde-data.s3.amazonaws.com/original-bag-images-dev/RVGKQGEFI8D_1.jpg,728,582
33.0076,129.5410,437.9961,419.5561,https://monde-data.s3.amazonaws.com/original-bag-images-dev/8BLSX17AW5O_1.jpg,461,461
2.0064,120.5652,324.9741,349.5684,https://monde-data.s3.amazonaws.com/original-bag-images-dev/4RMAN9H1XCG_1.jpg,627,372
2.0026,261.5535,527.0000,701.5788,https://monde-data.s3.amazonaws.com/original-bag-images-dev/YLBAIK34F4T_1.jpg,527,789
77.0302,328.6000,493.9883,699.5925,https://monde-data.s3.amazonaws.com/original-bag-images-dev/7GJO24GPQ0T_1.jpg,559,775
71.0330,547.5591,1188.9870,1605.6216,https://monde-data.s3.amazonaws.com/original-bag-images-dev/U6641TIH4PU_1.jpg,1255,1881
46.9937,118.5800,429.0039,479.5630,https://monde-data.s3.amazonaws.com/original-bag-images-dev/P2LQ2EBQ2OD_1.jpg,481,490
445.9652,201.5664,749.9906,485.5312,https://monde-data.s3.amazonaws.com/original-bag-images-dev/G76WITEE43O_1.jpg,766,784
5.9875,229.5748,467.0250,621.5846,https://monde-data.s3.amazonaws.com/original-bag-images-dev/Z07LW8LMFRI_1.jpg,479,637
